46,連鎖店,早餐,拉亞漢堡,臺中黎東店,南屯區,04-23812175,臺中市南屯區黎明東街96號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
47,連鎖店,早餐,拉亞漢堡,臺中嶺東店,南屯區,04-23860373,臺中市南屯區永春南路65號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
48,連鎖店,早餐,拉亞漢堡,太平中山店,太平區,04-23937766,臺中市太平區中山路二段140號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
49,連鎖店,早餐,拉亞漢堡,太平瑞客店,太平區,04-23982231,臺中市太平區育賢路157-1號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
50,連鎖店,早餐,拉亞漢堡,大里大明店,大里區,04-24850326,臺中市大里區大明路134號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
51,連鎖店,早餐,拉亞漢堡,大里大衛店,大里區,04-24180369,臺中市大里區國中路292號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
52,連鎖店,早餐,拉亞漢堡,大里中興店,大里區,04-24969396,臺中市大里區中興路一段292之19號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
53,連鎖店,早餐,拉亞漢堡,大里永隆 店,大里區,04-24079733,臺中市大里區永隆路340號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
54,連鎖店,早餐,拉亞漢堡,大里美群店,大里區,04-24951582,臺中市大里區美群路55號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
55,連鎖店,早餐,拉亞漢堡,大里現岱店,大里區,04-24863776,臺中市大里區現岱路166號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
56,連鎖店,早餐,拉亞漢堡,大里新仁店,大里區,04-23510798,臺中市大里區新仁路一段215-1號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
57,連鎖店,早餐,拉亞漢堡,烏日中山 店,烏日區,04-23387896,臺中市烏日區中山路二段234號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
58,連鎖店,早餐,拉亞漢堡,豐原向陽店,豐原區,04-25202925,臺中市豐原區向陽路361號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
59,連鎖店,早餐,拉亞漢堡,豐原西安店,豐原區,04-25225277,臺中市豐原區西安街6號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
60,連鎖店,早餐,拉亞漢堡,后里甲后店,后里區,04-25586308,臺中市后里區甲后路466號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
61,連鎖店,早餐,拉亞漢堡,東勢三民店,東勢區,04-25887575,臺中市東勢區三民街268號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
62,連鎖店,早餐,拉亞漢堡,東勢東崎店,東勢區,04-25770900,臺中市東勢區東崎街353號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
63,連鎖店,早餐,拉亞漢堡,新社中和店,新社區,04-25826025,臺中市新社區中和街4段179號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
64,連鎖店,早餐,拉亞漢堡,臺中潭子店,潭子區,04-25344316,臺中市潭子區中山路二段241巷2之2號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
65,連鎖店,早餐,拉亞漢堡,潭子勝利店,潭子區,04-25347548,臺中市潭子區勝利路157號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
66,連鎖店,早餐,拉亞漢堡,大雅中山店,大雅區,04-25684890,臺中市大雅區中山北路166號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
67,連鎖店,早餐,拉亞漢堡,大雅學府店,大雅區,04-25650302,臺中市大雅區學府路250巷73號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
68,連鎖店,早餐,拉亞漢堡,神岡中山店,神岡區,04-25626781,臺中市神岡區中山路601-3號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
69,連鎖店,早餐,拉亞漢堡,大肚華山店,大肚區,04-26990808,臺中市大肚區大肚區華山路56號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
70,連鎖店,早餐,拉亞漢堡,臺中靜宜店,沙鹿區,04-26331180,臺中市沙鹿區中棲路200號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
71,連鎖店,早餐,拉亞漢堡,沙鹿中興店,沙鹿區,04-26311560,臺中市沙鹿區自強路336號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
72,連鎖店,早餐,拉亞漢堡,臺中東海店,龍井區,04-226313967,臺中市龍井區新興路31號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
73,連鎖店,早餐,拉亞漢堡,清水鰲峰店,清水區,04-26282428,臺中市清水區南社里鰲豐路390-4號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
74,連鎖店,早餐,拉亞漢堡,大甲育英店,大甲區,04-26882992,臺中市大甲區育英路12號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
75,連鎖店,早餐,拉亞漢堡,外埔甲后店,外埔區,04-26835960,臺中市外埔區甲后路432號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
76,連鎖店,早餐,拉亞漢堡,潭子大豐,潭子區,─,臺中市潭子區大豐路三段86號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
77,連鎖店,早餐,拉亞漢堡,臺中篤行和龍,西區,04-22030678,臺中市西區篤行路195號,101年6月14日至今,現金回饋,自備杯子折價1元,內用外帶皆可
78,連鎖店,中式,易鼎活蝦,臺中西屯店,西屯區,04-23443202,臺中市西屯區甘肅路二段100號,93年1月1日至今,現金回饋,自備餐盒打95折,限外帶
79,連鎖店,中式,易鼎活蝦,臺中大里店,大里區,04-24819393,臺中市大里區德芳南路219號,93年1月1日至今,現金回饋,自備餐盒打95折,限外帶
80,連鎖店,中式,寧波風味小館,學士店,北區,04-22360959,臺中市北區學士路146號,101年6月1日至今,集點優惠,自備餐盒集點(10點),限外帶
81,連鎖店,中式,寧波風味小館,大遠百店,西屯區,04-22546176,臺中市西屯區中港路二段105號12樓,101年6月1日至今,集點優惠,自備餐盒集點(10點),限外帶
82,連鎖店,火鍋,千葉火鍋,大里尊爵館,大里區,04-24823546,臺中市大里區德芳南路318號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
83,連鎖店,火鍋,千葉火鍋,大甲尊爵館,大甲區,04-26884588,臺中市大甲區中山路一段923號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
84,連鎖店,火鍋,千葉火鍋,河南尊爵館,西屯區,04-23153097,臺中市西屯區河南路二段7號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
85,連鎖店,火鍋,千葉火鍋,文心尊爵館,南屯區,04-24759158,臺中心南屯區文心路一段29號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
86,連鎖店,火鍋,千葉火鍋,自由尊爵館,東區,04-22110157,臺中市東區自由路四段205號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
87,連鎖店,火鍋,千葉火鍋,崇德尊爵館,北屯區,04-24223762,臺中市北屯區崇德路三段201號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
88,連鎖店,火鍋,千葉火鍋,豐原尊爵館,豐原區,04-25238630,臺中市豐原區自成街66號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
89,連鎖店,火鍋,千葉火鍋,沙鹿尊爵館,沙鹿區,04-26657261,臺中市沙鹿區中山路128-35號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
90,連鎖店,火鍋,千葉火鍋,大雅尊爵館,大雅區,04-25679377,臺中市大雅區中清南路89號,101年6月1日至今,現金回饋,自備餐具打9折,限內用
91,連鎖店,西式,三商巧福,大甲店,大甲區,04-26861384,臺中市大甲區鎮政路12-1號,100年5月1日至今,現金回饋,自備杯子折價3元,限內用
